"APE Code","Barcode","Name","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
1200125,"PC025.19","Polycarbonate Tube","Tube Extruded",1,1,91.62,,,,,,12,91.62,,,"Tube","Each",,,151.2,3000,25.4,19,3.2,"Tube","Clear",,,,,,
1200126,"PC025.22","Polycarbonate Tube","Tube Extruded",1,1,49.98,,,,,,12,49.98,,,"Tube","Each",,,82.5,3000,25.4,22.2,1.6,"Tube","Clear",,,,,,
1200127,"PC028.25","Polycarbonate Tube","Tube Extruded",1,1,57.54,,,,,,12,57.54,,,"Tube","Each",,,95,3000,28.6,25.4,1.6,"Tube","Clear",,,,,,
1200128,"PC029.27","Polycarbonate Tube","Tube Extruded",1,1,39.12,,,,,,12,39.12,,,"Tube","Each",,,64.6,3000,29.5,27.3,1.1,"Tube","Clear",,,,,,
1200129,"PC031.25","Polycarbonate Tube","Tube Extruded",1,1,98.1,,,,,,12,98.1,,,"Tube","Each",,,161.9,3000,31.8,25.4,3.2,"Tube","Clear",,,,,,
1200130,"PC031.28","Polycarbonate Tube","Tube Extruded",1,1,67.92,,,,,,12,67.92,,,"Tube","Each",,,112.1,3000,31.8,28.6,1.6,"Tube","Clear",,,,,,
1200131,"PC038.31","Polycarbonate Tube","Tube Extruded",1,1,113.76,,,,,,12,113.76,,,"Tube","Each",,,187.7,3000,38.1,31.8,3.15,"Tube","Clear",,,,,,
1200132,"PC038.34","Polycarbonate Tube","Tube Extruded",1,1,80.22,,,,,,12,80.22,,,"Tube","Each",,,132.4,3000,38.1,34.9,1.6,"Tube","Clear",,,,,,
1200133,"PCT045.38","Polycarbonate Tube","Tube Extruded",1,1,101.76,,,,,,12,101.76,,,"Tube","Each",,,167.9,2000,45,38.1,3.45,"Tube","Clear",,,,,,
1200134,"PC044.41","Polycarbonate Tube","Tube Extruded",1,1,96.72,,,,,,12,96.72,,,"Tube","Each",,,160,3000,44.5,41.3,1.6,"Tube","Clear",,,,,,
1200135,"PC050.44","Polycarbonate Tube","Tube Extruded",1,1,159,,,,,,12,159,,,"Tube","Each",,,262.4,3000,50.8,44.5,3.15,"Tube","Clear",,,,,,
1200136,"PC050.47","Polycarbonate Tube","Tube Extruded",1,1,114.78,,,,,,12,114.78,,,"Tube","Each",,,189.4,3000,50.8,47.6,1.6,"Tube","Clear",,,,,,
1200137,"PCT057.50","Polycarbonate Tube","Tube Extruded",1,1,114.24,,,,,,12,114.24,,,"Tube","Each",,,188.5,2000,57,50.8,3.2,"Tube","Clear",,,,,,
1200138,"PC057.54","Polycarbonate Tube","Tube Extruded",1,1,135.3,,,,,,12,135.3,,,"Tube","Each",,,223.3,3000,57.2,54,1.6,"Tube","Clear",,,,,,
1200139,"PCT063.60","Polycarbonate Tube","Tube Extruded",1,1,85.44,,,,,,12,85.44,,,"Tube","Each",,,140.9,2000,63,60.3,1.6,"Tube","Clear",,,,,,
1200140,"PCT070.63","Polycarbonate Tube","Tube Extruded",1,1,167.94,,,,,,12,167.94,,,"Tube","Each",,,277.1,2000,70,63.5,3.2,"Tube","Clear",,,,,,
1200141,"PC075.69","Polycarbonate Tube","Tube Extruded",1,1,265.68,,,,,,12,265.68,,,"Tube","Each",,,385.3,3000,75.3,69.9,2.72,"Tube","Clear",,,,,,
1200142,"PC084.80","Polycarbonate Tube","Tube Extruded",1,1,265.98,,,,,,12,265.98,,,"Tube","Each",,,385.7,3000,84,80,2,"Tube","Clear",,,,,,
1200143,"PCT101.97","Polycarbonate Tube","Tube Extruded",1,1,269.55,,,,,,12,269.55,,,"Tube","Each",,,280.4,2000,101,97,2,"Tube","Clear",,,,,,
1200144,"PC111.107","Polycarbonate Tube","Tube Extruded",1,1,274.62,,,,,,12,274.62,,,"Tube","Each",,,398.2,3000,111,107,2,"Tube","Clear",,,,,,
1200145,"PCT127.123","Polycarbonate Tube","Tube Extruded",1,1,184.77,,,,,,12,184.77,,,"Tube","Each",,,304.8,2000,127,123,2,"Tube","Clear",,,,,,
1200146,"63X57","Clear PVC Tube","Tube Extruded",1,1,10,,,,,,12,10,,,"Tube","Each",,,,2000,63,57,3,"Tube","Clear",,,,,,
