"APE code","Barcode"," 4L'","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
3200107,,"Maxi-T Board White Celuka - 2440x1220x20T ","PVC",1,1,354.96,,,,,,32,354.96,,,"Sheet","Each",,,709.92,2440,1220,20,,"Sheet","White",,,,,,
3200108,,"Maxi-T Board White Celuka - 2440x1220x24T ","PVC",1,1,425.88,,,,,,32,425.88,,,"Sheet","Each",,,851.76,2440,1220,24,,"Sheet","White",,,,,,
3200109,,"Maxi-T Board White Celuka - 2440x1220x30T ","PVC",1,1,532.44,,,,,,32,532.44,,,"Sheet","Each",,,1064.88,2440,1220,30,,"Sheet","White",,,,,,
3200333,,"HIPS White Hi Gloss PE - 1370x760x0.25T ","High Impact Polystryene (HIPS)",1,1,3.74,,,,,,32,3.74,,,"Sheet","Each",,,0,1370,760,0.25,,"Sheet","White",,,,,,
3200334,,"HIPS White Hi Gloss PE - 1370x760x0.5T ","High Impact Polystryene (HIPS)",1,1,8.46,,,,,,32,8.46,,,"Sheet","Each",,,0,1370,760,0.5,,"Sheet","White",,,,,,
3200335,,"HIPS White Hi Gloss PE - 1370x760x0.75T ","High Impact Polystryene (HIPS)",1,1,12.67,,,,,,32,12.67,,,"Sheet","Each",,,0,1370,760,0.75,,"Sheet","White",,,,,,
3200336,,"HIPS White Hi Gloss PE - 1370x760x1.5T ","High Impact Polystryene (HIPS)",1,1,25.34,,,,,,32,25.34,,,"Sheet","Each",,,0,1370,760,1.5,,"Sheet","White",,,,,,
3200337,,"HIPS White Hi Gloss PE - 1370x760x1T ","High Impact Polystryene (HIPS)",1,1,16.88,,,,,,32,16.88,,,"Sheet","Each",,,0,1370,760,1,,"Sheet","White",,,,,,
3200338,,"HIPS White Hi Gloss PE - 1370x760x2T ","High Impact Polystryene (HIPS)",1,1,33.77,,,,,,32,33.77,,,"Sheet","Each",,,0,1370,760,2,,"Sheet","White",,,,,,
3200339,,"HIPS White Hi Gloss PE - 1370x760x3T ","High Impact Polystryene (HIPS)",1,1,50.65,,,,,,32,50.65,,,"Sheet","Each",,,0,1370,760,3,,"Sheet","White",,,,,,
3200340,,"HIPS White Hi Gloss PE - 2440x1220x1.5T ","High Impact Polystryene (HIPS)",1,1,72.43,,,,,,32,72.43,,,"Sheet","Each",,,0,2440,1220,1.5,,"Sheet","White",,,,,,
3200341,,"HIPS White Hi Gloss PE - 2440x1220x1T ","High Impact Polystryene (HIPS)",1,1,48.28,,,,,,32,48.28,,,"Sheet","Each",,,0,2440,1220,1,,"Sheet","White",,,,,,
3200342,,"HIPS White Hi Gloss PE - 2440x1220x2T ","High Impact Polystryene (HIPS)",1,1,94.61,,,,,,32,94.61,,,"Sheet","Each",,,0,2440,1220,2,,"Sheet","White",,,,,,
3200343,,"HIPS White Hi Gloss PE - 2440x1220x3T ","High Impact Polystryene (HIPS)",1,1,144.83,,,,,,32,144.83,,,"Sheet","Each",,,0,2440,1220,3,,"Sheet","White",,,,,,
