"APE code","Barcode","Name","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP Discount %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price x 1 CTN","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account","Vendors/Price 1 - 4 CTN","Vendors/Price 5+ CTN"
1800033,489,"Signholder With Adh Tape 75Mm CTN Qty 100","Tape",1,1,1.2,,,,,,18,1.2,,,"Tape","Carton",,,2.16,,,,,,,,,,,,,0.92,0.8
1800034,490,"Signholder With Base Adh Tape 25Mm CTN Qty 200","Tape",1,1,0.38,,,,,,18,0.38,,,"Tape","Carton",,,0.68,,,,,,,,,,,,,0.29,0.25
1800035,490,"Signholder With Base Adh Tape 25Mm CTN Qty 200","Tape",1,1,0.38,,,,,,18,0.38,,,"Tape","Carton",,,0.68,,,,,,,,,,,,,0.29,0.25
1800036,491,"Signholder With Base Adh Tape 75Mm CTN Qty 100","Tape",1,1,0.82,,,,,,18,0.82,,,"Tape","Carton",,,1.48,,,,,,,,,,,,,0.63,0.55
1800037,491,"Signholder With Base Adh Tape 75Mm CTN Qty 100","Tape",1,1,0.82,,,,,,18,0.82,,,"Tape","Carton",,,1.48,,,,,,,,,,,,,0.63,0.55
1800038,492,"Signholder With Base Adh Tape 150Mm CTN Qty 100","Tape",1,1,2.25,,,,,,18,2.25,,,"Tape","Carton",,,4.05,,,,,,,,,,,,,1.75,1.5
1800039,492,"Signholder With Base Adh Tape 150Mm CTN Qty 100","Tape",1,1,2.25,,,,,,18,2.25,,,"Tape","Carton",,,4.05,,,,,,,,,,,,,1.75,1.5
1800040,496,"Signholder Wide Base With Adh Tape 25Mm CTN Qty 200","Tape",1,1,0.45,,,,,,18,0.45,,,"Tape","Carton",,,0.81,,,,,,,,,,,,,0.35,0.3
1800041,496,"Signholder Wide Base With Adh Tape 25Mm CTN Qty 200","Tape",1,1,0.45,,,,,,18,0.45,,,"Tape","Carton",,,0.81,,,,,,,,,,,,,0.35,0.3
1800042,497,"Signholder Wide Base With Adh Tape 75Mm CTN Qty 200","Tape",1,1,1.2,,,,,,18,1.2,,,"Tape","Carton",,,2.16,,,,,,,,,,,,,0.92,0.8
1800043,497,"Signholder Wide Base With Adh Tape 75Mm CTN Qty 200","Tape",1,1,1.2,,,,,,18,1.2,,,"Tape","Carton",,,2.16,,,,,,,,,,,,,0.92,0.8
1800044,498,"Signholder Wide Base With Adh Tape 15Mm CTN Qty 200","Tape",1,1,2.6,,,,,,18,2.6,,,"Tape","Carton",,,4.68,,,,,,,,,,,,,2.15,1.9
1800045,498,"Signholder Wide Base With Adh Tape 15Mm CTN Qty 200","Tape",1,1,2.6,,,,,,18,2.6,,,"Tape","Carton",,,4.68,,,,,,,,,,,,,2.15,1.9
1800046,505,"Menu Hldr Sloping - 60 x 38mm CTN Qty 100","Holder",1,1,0.35,,,,,,18,0.35,,,"Holder","Carton",,,0.63,,,,,,,,,,,,,0.3,0.25
1800047,505,"Menu Hldr Sloping - 60 x 38mm CTN Qty 100","Holder",1,1,0.35,,,,,,18,0.35,,,"Holder","Carton",,,0.63,,,,,,,,,,,,,0.3,0.25
1800048,506,"Menu Hldr Vertical - 60 x 38mm CTN Qty 100","Holder",1,1,0.35,,,,,,18,0.35,,,"Holder","Carton",,,0.63,,,,,,,,,,,,,0.3,0.25
1800049,506,"Menu Hldr Vertical - 60 x 38mm CTN Qty 100","Holder",1,1,0.35,,,,,,18,0.35,,,"Holder","Carton",,,0.63,,,,,,,,,,,,,0.3,0.25
1800050,508,"Acr Card Holder CTN Qty 200","Holder",1,1,1.85,,,,,,18,1.85,,,"Holder","Carton",,,3.33,,,,,,,,,,,,,1.65,1.45
1800051,508,"Acr Card Holder CTN Qty 200","Holder",1,1,1.85,,,,,,18,1.85,,,"Holder","Carton",,,3.33,,,,,,,,,,,,,1.65,1.45
1800052,509,"Small Ticket Holder CTN Qty 200","Holder",1,1,0.7,,,,,,18,0.7,,,"Holder","Carton",,,1.26,,,,,,,,,,,,,0.6,0.49
1800053,509,"Small Ticket Holder CTN Qty 200","Holder",1,1,0.7,,,,,,18,0.7,,,"Holder","Carton",,,1.26,,,,,,,,,,,,,0.6,0.49
1800054,510,"Sh t/Hold 20 CTN Qty 200","Holder",1,1,0.92,,,,,,18,0.92,,,"Holder","Carton",,,1.66,,,,,,,,,,,,,0.74,0.66
1800055,510,"Sh t/Hold 20 CTN Qty 200","Holder",1,1,0.92,,,,,,18,0.92,,,"Holder","Carton",,,1.66,,,,,,,,,,,,,0.74,0.66
1800056,511,"Sh 6 t Hold CTN Qty 200","Holder",1,1,0.92,,,,,,18,0.92,,,"Holder","Carton",,,1.66,,,,,,,,,,,,,0.74,0.66
1800057,511,"Sh 6 t Hold CTN Qty 200","Holder",1,1,0.92,,,,,,18,0.92,,,"Holder","Carton",,,1.66,,,,,,,,,,,,,0.74,0.66
1800058,512,"Basket Ticket Clip CTN Qty 200","Clip",1,1,0.98,,,,,,18,0.98,,,"Clip","Carton",,,1.76,,,,,,,,,,,,,0.79,0.7
1800059,512,"Basket Ticket Clip CTN Qty 200","Clip",1,1,0.98,,,,,,18,0.98,,,"Clip","Carton",,,1.76,,,,,,,,,,,,,0.79,0.7
1800060,513,"Vertical Card Holder 75Mm CTN Qty 200","Holder",1,1,1.4,,,,,,18,1.4,,,"Holder","Carton",,,2.52,,,,,,,,,,,,,1.05,0.9
1800061,513,"Vertical Card Holder 75Mm CTN Qty 200","Holder",1,1,1.4,,,,,,18,1.4,,,"Holder","Carton",,,2.52,,,,,,,,,,,,,1.05,0.9
1800062,514,"Vertical Card Holder 150Mm CTN Qty 200","Holder",1,1,2.25,,,,,,18,2.25,,,"Holder","Carton",,,4.05,,,,,,,,,,,,,1.7,1.5
1800063,514,"Vertical Card Holder 150Mm CTN Qty 200","Holder",1,1,2.25,,,,,,18,2.25,,,"Holder","Carton",,,4.05,,,,,,,,,,,,,1.7,1.5
1800064,518,"Acrylic Frame Signholder a5 Port CTN Qty 48","Frame",1,1,9.6,,,,,,18,9.6,,,"Frame","Caron",,,17.28,,,,,,,,,,,,,8.3,7.2
1800065,518,"Acrylic Frame Signholder a5 Port CTN Qty 48","Frame",1,1,9.6,,,,,,18,9.6,,,"Frame","Caron",,,17.28,,,,,,,,,,,,,8.3,7.2
1800066,519,"Acrylic Frame Signholder a4p Port CTN Qty 24","Frame",1,1,12.6,,,,,,18,12.6,,,"Frame","Caron",,,22.68,,,,,,,,,,,,,10.9,9.5
1800067,519,"Acrylic Frame Signholder a4p Port CTN Qty 24","Frame",1,1,12.6,,,,,,18,12.6,,,"Frame","Caron",,,22.68,,,,,,,,,,,,,10.9,9.5
1800068,520,"Threaded Stem 75Mm CTN Qty 100","Stem",1,1,0.8,,,,,,18,0.8,,,"Stem","Carton",,,1.44,,,,,,,,,,,,,0.7,0.6
1800069,520,"Threaded Stem 75Mm CTN Qty 100","Stem",1,1,0.8,,,,,,18,0.8,,,"Stem","Carton",,,1.44,,,,,,,,,,,,,0.7,0.6
1800070,521,"Threaded Stem 150Mm CTN Qty 100","Stem",1,1,1.05,,,,,,18,1.05,,,"Stem","Carton",,,1.89,,,,,,,,,,,,,0.92,0.8
1800071,521,"Threaded Stem 150Mm CTN Qty 100","Stem",1,1,1.05,,,,,,18,1.05,,,"Stem","Carton",,,1.89,,,,,,,,,,,,,0.92,0.8
1800072,523,"Threaded Stem 230Mm CTN Qty 100","Stem",1,1,1.35,,,,,,18,1.35,,,"Stem","Carton",,,2.43,,,,,,,,,,,,,1.15,1
1800073,523,"Threaded Stem 230Mm CTN Qty 100","Stem",1,1,1.35,,,,,,18,1.35,,,"Stem","Carton",,,2.43,,,,,,,,,,,,,1.15,1
1800074,525,"Magnetic Base 75Mm CTN Qty 100","Base",1,1,4.1,,,,,,18,4.1,,,"Base","Carton",,,7.38,,,,,,,,,,,,,3.6,3.1
1800075,525,"Magnetic Base 75Mm CTN Qty 100","Base",1,1,4.1,,,,,,18,4.1,,,"Base","Carton",,,7.38,,,,,,,,,,,,,3.6,3.1
1800076,526,"Corner Magnetic Base CTN Qty 100","Base",1,1,7.3,,,,,,18,7.3,,,"Base","Carton",,,13.14,,,,,,,,,,,,,6.3,5.5
1800077,526,"Corner Magnetic Base CTN Qty 100","Base",1,1,7.3,,,,,,18,7.3,,,"Base","Carton",,,13.14,,,,,,,,,,,,,6.3,5.5
1800078,545,"Chrome Frame s / Holder a4 Port CTN Qty 60","Holder",1,1,5.9,,,,,,18,5.9,,,"Holder","Carton",,,10.62,,,,,,,,,,,,,5.2,4.7
1800079,546,"Chrome Frame s / Holder a4 Land CTN Qty 60","Holder",1,1,5.9,,,,,,18,5.9,,,"Holder","Carton",,,10.62,,,,,,,,,,,,,5.2,4.7
1800080,547,"Chrome Frame s / Holder a5 Port CTN Qty 60","Holder",1,1,4.5,,,,,,18,4.5,,,"Holder","Carton",,,8.1,,,,,,,,,,,,,3.9,3.5
1800081,548,"Chrome Frame s / Holder a5 Land CTN Qty 60","Holder",1,1,4.5,,,,,,18,4.5,,,"Holder","Carton",,,8.1,,,,,,,,,,,,,3.9,3.5
1800082,549,"Chrome Frame s / Holder a3 Land CTN Qty 60","Holder",1,1,8.7,,,,,,18,8.7,,,"Holder","Carton",,,15.66,,,,,,,,,,,,,7.65,6.8
1800083,550,"Std Duty Peg 50 CTN Qty 500","Peg",1,1,0.49,,,,,,18,0.49,,,"Peg","Carton",,,0.88,,,,,,,,,,,,,0.38,0.33
1800084,551,"Std Duty Peg 100 CTN Qty 500","Peg",1,1,0.52,,,,,,18,0.52,,,"Peg","Carton",,,0.94,,,,,,,,,,,,,0.4,0.35
1800085,552,"Std Duty Peg 150 CTN Qty 500","Peg",1,1,0.54,,,,,,18,0.54,,,"Peg","Carton",,,0.97,,,,,,,,,,,,,0.42,0.36
1800086,553,"Std Duty Peg 200 CTN Qty 500","Peg",1,1,0.64,,,,,,18,0.64,,,"Peg","Carton",,,1.15,,,,,,,,,,,,,0.49,0.43
1800087,560,"Hd Peg Hook 100 CTN Qty 250","Hook",1,1,0.62,,,,,,18,0.62,,,"Hook","Carton",,,1.12,,,,,,,,,,,,,0.47,0.41
1800088,561,"Hd Peg Hook 150 CTN Qty 250","Hook",1,1,0.62,,,,,,18,0.62,,,"Hook","Carton",,,1.12,,,,,,,,,,,,,0.47,0.41
1800089,562,"Hd Peg Hook 200 CTN Qty 250","Hook",1,1,0.91,,,,,,18,0.91,,,"Hook","Carton",,,1.64,,,,,,,,,,,,,0.7,0.61
1800090,563,"Hd Peg Hook 250 CTN Qty 250","Hook",1,1,0.96,,,,,,18,0.96,,,"Hook","Carton",,,1.73,,,,,,,,,,,,,0.74,0.64
1800091,564,"Hd Peg Hook 300 CTN Qty 250","Hook",1,1,1.06,,,,,,18,1.06,,,"Hook","Carton",,,1.91,,,,,,,,,,,,,0.82,0.71
1800092,571,"Swedge Cups Chrome CTN Qty 200","Suction Cup",1,1,1.15,,,,,,18,1.15,,,"Suction Cup","Carton",,,2.07,,,,,,,,,,,,,1,0.85
1800093,572,"Swedge Cups Polycarbonate CTN Qty 200","Suction Cup",1,1,0.4,,,,,,18,0.4,,,"Suction Cup","Carton",,,0.72,,,,,,,,,,,,,0.32,0.25
1800094,573,"Swedge Stem 75Mm CTN Qty 100","Stem",1,1,0.9,,,,,,18,0.9,,,"Stem","Carton",,,1.62,,,,,,,,,,,,,0.75,0.65
1800095,574,"Swedge Stem 150Mm CTN Qty 100","Stem",1,1,1.2,,,,,,18,1.2,,,"Stem","Carton",,,2.16,,,,,,,,,,,,,1.05,0.9
1800096,575,"Loop Type Hook - 100mm CTN Qty 250","Hook",1,1,0.49,,,,,,18,0.49,,,"Hook","Carton",,,0.88,,,,,,,,,,,,,0.39,0.35
1800097,576,"Loop Type Hook - 150mm CTN Qty 250","Hook",1,1,0.55,,,,,,18,0.55,,,"Hook","Carton",,,0.99,,,,,,,,,,,,,0.44,0.4
1800098,577,"Loop Type Hook - 200mm CTN Qty 250","Hook",1,1,0.85,,,,,,18,0.85,,,"Hook","Carton",,,1.53,,,,,,,,,,,,,0.72,0.6
1800099,600,"45mm Suction Cup - Plain CTN Qty 500","Suction Cup",1,1,0.35,,,,,,18,0.35,,,"Suction Cup","Carton",,,0.63,,,,,,,,,,,,,0.15,0.1
1800100,601,"45mm Suction Cup - Metal Hook CTN Qty 500","Hook",1,1,0.5,,,,,,18,0.5,,,"Hook","Carton",,,0.9,,,,,,,,,,,,,0.25,0.15
1800101,603,"20mm Suction Cup - Plain CTN Qty 1000","Suction Cup",1,1,0.2,,,,,,18,0.2,,,"Suction Cup","Carton",,,0.36,,,,,,,,,,,,,0.1,0.06
1800102,604,"20mm Suction Cup - Metal Hook CTN Qty 1000","Hook",1,1,0.4,,,,,,18,0.4,,,"Hook","Carton",,,0.72,,,,,,,,,,,,,0.14,0.1
1800103,605,"65mm Suction Cup - Plain CTN Qty 250","Suction Cup",1,1,0.6,,,,,,18,0.6,,,"Suction Cup","Carton",,,1.08,,,,,,,,,,,,,0.4,0.35
1800104,630,"Plastic Scan Hook 50Mm CTN Qty 100","Hook",1,1,0.98,,,,,,18,0.98,,,"Hook","Carton",,,1.76,,,,,,,,,,,,,0.85,0.74
1800105,631,"Plastic Scan Hook 100Mm CTN Qty 100","Hook",1,1,1.1,,,,,,18,1.1,,,"Hook","Carton",,,1.98,,,,,,,,,,,,,0.94,0.82
